"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-17","6.93",,"0.01",,"0.0","0.0","75","84","68",,"  250","  250",,"15.0","19.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-18","7.16",,"0.03",,"0.0","0.0","76","87","61",,"   80","   70",,"18.1","25.1","    1",,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-19","7.38",,"0.01",,"0.0","0.0","68","83","61",,"  230","  200",,"17.0","36.9","    1",,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-20","12.97",,"0.00",,"0.0","0.0","67","75","58",,"  340","  320",,"25.9","31.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-21","4.92",,"0.18",,"0.0","0.0","57","58","51",,"   10","   10",,"16.1","19.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-22","13.65",,"0.00",,"0.0","0.0","62","77","53",,"  270","  250",,"28.0","36.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-23","9.40",,"0.00",,"0.0","0.0","62","71","51",,"  330","  360",,"18.1","25.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-24","8.95",,"0.00",,"0.0","0.0","66","82","52",,"  240","  230",,"17.0","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-25","11.86",,"0.00",,"0.0","0.0","74","87","63",,"  240","  200",,"25.1","35.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-26","12.30",,"0.00",,"0.0","0.0","76","89","65",,"  230","  220",,"19.9","25.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-27","10.51",,"0.60",,"0.0","0.0","78","89","71",,"  270","  270",,"28.0","34.0",,,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-28","7.38",,"0.00",,"0.0","0.0","77","89","70",,"  240","  240",,"25.1","31.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-29","7.16",,"0.00",,"0.0","0.0","78","87","66",,"   40","   40",,"14.1","17.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-30","9.84",,"0.00",,"0.0","0.0","77","87","68",,"  180","  220",,"19.9","25.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-31","10.29",,"0.00",,"0.0","0.0","79","92","70",,"  180","  200",,"19.9","25.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-01","10.07",,"1.96",,"0.0","0.0","72","76","58",,"   70","   20",,"18.1","27.1","    1",,"    1",,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-02","10.51",,"0.30",,"0.0","0.0","57","58","53",,"   30","  360",,"18.1","23.9","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-03","9.84",,"0.01",,"0.0","0.0","60","70","55",,"   80","   40",,"18.1","23.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-04","10.96",,"0.00",,"0.0","0.0","62","70","57",,"   80","   30",,"18.1","23.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-05","6.49",,"0.13",,"0.0","0.0","63","76","56",,"   40","   20",,"13.0","23.9","    1",,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-06","6.71",,"0.05",,"0.0","0.0","71","81","64",,"   30","   10",,"21.0","31.1","    1",,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-07","7.61",,"0.00",,"0.0","0.0","69","77","58",,"  190","  190",,"16.1","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-08","12.53",,"0.88",,"0.0","0.0","72","86","64",,"  200","  210",,"21.9","25.9","    1",,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-09","12.97",,"0.02",,"0.0","0.0","76","86","69",,"  250","  260",,"23.9","29.1","    1",,"    1",,,,,
